Day,Market Participant,Equity Option Contracts,Equity Option Trade Count,Equity Option Notional,Index/Other Option Contracts,Index/Other Option Trade Count,Index/Other Option Notional,Total Option Contracts,Total Trade Count,Total Option Notional
2023-06-27,NYSE American Options (A),2292427,211297,542855028.000000,0,0,0.000000,2292427,211297,542855028.000000
2023-06-27,BOX Options (B),1894129,260713,557877502.000000,0,0,0.000000,1894129,260713,557877502.000000
2023-06-27,Cboe Options Exchange (C),3875094,518704,944486963.000000,3297957,590240,7487085921.000000,7173051,1108944,8431572884.000000
2023-06-27,MIAX Emerald (D),996523,180432,231862448.000000,0,0,0.000000,996523,180432,231862448.000000
2023-06-27,Cboe EDGX Options Exchange (E),1972280,301852,379038174.000000,0,0,0.000000,1972280,301852,379038174.000000
2023-06-27,Nasdaq GEMX (H),951797,135570,197080261.000000,499,242,7567425.000000,952296,135812,204647686.000000
2023-06-27,Nasdaq ISE (I),1908665,240870,651091998.500000,20297,7857,114741435.000000,1928962,248727,765833433.500000
2023-06-27,Nasdaq MRX (J),668324,102016,156754239.000000,0,0,0.000000,668324,102016,156754239.000000
2023-06-27,MIAX Options Exchange (M),2048156,340145,469687920.000000,0,0,0.000000,2048156,340145,469687920.000000
2023-06-27,NYSE Arca Options (N),4299738,558440,1103794052.000000,0,0,0.000000,4299738,558440,1103794052.000000
2023-06-27,MIAX Pearl (P),2324616,249286,419845589.000000,0,0,0.000000,2324616,249286,419845589.000000
2023-06-27,NASDAQ Options Market (Q),2153726,317520,540950833.000000,0,0,0.000000,2153726,317520,540950833.000000
2023-06-27,Nasdaq BX Options (T),962533,153665,155734964.000000,0,0,0.000000,962533,153665,155734964.000000
2023-06-27,Cboe C2 Options Exchange (W),1462290,181143,273165949.000000,8385,2906,11893287.000000,1470675,184049,285059236.000000
2023-06-27,Nasdaq PHLX (X),3799441,248468,1102479608.000000,19654,8293,113983733.000000,3819095,256761,1216463341.000000
2023-06-27,Cboe BZX Options Exchange (Z),1986782,270128,442912737.000000,1194,226,3129440.000000,1987976,270354,446042177.000000
2023-06-26,NYSE American Options (A),2044864,215532,486724616.000000,0,0,0.000000,2044864,215532,486724616.000000
2023-06-26,BOX Options (B),1974318,250738,708610318.000000,0,0,0.000000,1974318,250738,708610318.000000
