Id;Referencia;Nombre
512;025271007;Flexo Serie Galena Rojo 12 Ledx0.06w
513;025271008;Flexo Serie Galena Azul 12 Ledx0.06w
518;025452009;Lampara Serie Lola Acrilico Negro 2xe14 (30x48)
519;025452018;Lampara Serie Lola Acrilico Berejena 2xe14 (30x48)
522;025453018;Lampara Serie Lola Acrilico Berenjena 3xe14 (25x40)
524;025454009;Lampara Serie Lola Acrilico Negro 4xe14 (regx82)
525;025454018;Lampara Serie Lola Acrilico Berenjena 4xe14 (regx82)
530;025471043;Sobremesa Serie Lola Acrilico Ambar 1xe14 (25x16)
531;025492009;Colgante Serie Lola Acrilico Oval Negro 1xe27 (30x20)
533;025492043;Colgante Serie Lola Acrilico Oval Ambar 1xe27 (30x20)
534;025493009;Colgante Serie Lola Acrilico Circular Negro 1xe27 (30x30)
535;025493018;Colgante Serie Lola Acrilico Circular Berenjena 1xe27 (30x30)
537;025541001;Neto Promo Pie Salon Serie Aral Blanco/niq 1xe27 (168x25)
538;025541002;Neto Promo Pie Salon Serie Aral Marron/niq 1xe27 (168x25)
539;025541008;Neto Promo Pie Salon Serie Aral Azul/niq 1xe27 (168x25)
540;025541009;Neto Promo Pie Salon Serie Aral Negro/niq 1xe27 (168x25)
541;025541015;Neto Promo Pie Salon Serie Aral Beis/niq 1xe27 (168x25)
542;025541018;Neto Promo Pie Salon Serie Aral Berenjena/niq 1xe27 (168x25)
543;025541039;Neto Promo Pie Salon Serie Aral Arena/niq 1xe27 (168x25)
544;025571001;Neto Promo Sobremesa Serie Aral Blanco/niq 1xe27 (43x16)
545;025571002;Neto Promo Sobremesa Serie Aral Marron/niq 1xe27 (43x16)
546;025571008;Neto Promo Sobremesa Serie Aral Azul/niq 1xe27 (43x16)
547;025571009;Neto Promo Sobremesa Serie Aral Negro/niq 1xe27 (43x16)
548;025571015;Neto Promo Sobremesa Serie Aral Beis/niq 1xe27 (43x16)
549;025571018;Neto Promo Sobremesa Serie Aral Berenjena/niq 1xe27 (43x16)
550;025571039;Neto Promo Sobremesa Serie Aral Arena /niq 1xe27 (43x16)
551;025592501;Neto Promo Colgante Serie Aral Blanco/niq 1xe27 (regx25)
552;025592502;Neto Promo Colgante Serie Aral Marron/niq 1xe27 (regx25)
553;025592508;Neto Promo Colgante Serie Aral Azul/niq 1xe27 (regx25)
554;025592509;Neto Promo Colgante Serie Aral Negro/niq 1xe27 (regx25)
555;025592515;Neto Promo Colgante Serie Aral Beis/niq (regx25)
556;025592518;Neto Promo Colgante Serie Aral Berenjena/niq 1xe27 (regx25)
557;025592539;Neto Promo Colgante Serie Aral Arena/niq 1xe27 (regx25)
558;025671000;Flexo Serie Flex 1xe27 Rosa 30x18
559;025671001;Flexo Serie Flex 1xe27 Blanco 30x18
560;025671006;Flexo Serie Flex 1xe27 Verde 30x18
561;025671007;Flexo Serie Flex 1xe27 Rojo 30x18
562;025671009;Flexo Serie Flex 1xe27 Negro 30x18
563;025671050;Flexo Serie Flex 1xe27 Amarillo 30x18
