Expiration Date,Calls,Calls Last Sale,Calls Net,Calls Bid,Calls Ask,Calls Volume,Calls IV,Calls Delta,Calls Gamma,Calls Open Interest,Strike,Puts,Puts Last Sale,Puts Net,Puts Bid,Puts Ask,Puts Volume,Puts IV,Puts Delta,Puts Gamma,Puts Open Interest
Thu May 25 2023,NDXP230525C13810000,111.2,-22.3,94.6,103,2,0.1495,0.5173,0.0015,2,13810.00,NDXP230525P13810000,0,0,98.6,107.2,0,0.1477,-0.483,0.0015,0
Thu May 25 2023,NDXP230525C13820000,128.4,1.05,89.6,97.8,1,0.148,0.5022,0.0015,2,13820.00,NDXP230525P13820000,0,0,103.5,113.7,0,0.1463,-0.4981,0.0015,0
Thu May 25 2023,NDXP230525C13825000,89.9,-35.15,87.1,95.3,3,0.1475,0.4946,0.0015,10,13825.00,NDXP230525P13825000,0,0,105.9,116.2,0,0.1467,-0.5057,0.0015,0
Thu May 25 2023,NDXP230525C13830000,102.6,-19.6,84.7,92.8,4,0.1469,0.487,0.0015,9,13830.00,NDXP230525P13830000,0,0,108.4,118.8,0,0.1465,-0.5133,0.0015,0
Thu May 25 2023,NDXP230525C13840000,128,0,81.8,87.9,0,0.1466,0.4718,0.0015,4,13840.00,NDXP230525P13840000,107.4,-14.55,113.1,123.9,1,0.1458,-0.5285,0.0015,3
Thu May 25 2023,NDXP230525C13850000,88.93,-22.47,77.2,83.3,6,0.146,0.4565,0.0015,12,13850.00,NDXP230525P13850000,0,0,118.3,129.4,0,0.1453,-0.5438,0.0015,0
Thu May 25 2023,NDXP230525C13860000,100.35,-5.8,71.1,77.9,2,0.1456,0.4412,0.0015,2,13860.00,NDXP230525P13860000,116.3,-15.45,123.7,135.1,1,0.1448,-0.5591,0.0015,1
Thu May 25 2023,NDXP230525C13870000,110.4,8.95,68,73.6,1,0.1453,0.4259,0.0015,1,13870.00,NDXP230525P13870000,0,0,129.2,140.9,0,0.1444,-0.5744,0.0015,0
Thu May 25 2023,NDXP230525C13875000,77.57,-21.28,66.2,71.2,2,0.1459,0.4183,0.0015,2,13875.00,NDXP230525P13875000,0,0,132,143.9,0,0.1446,-0.582,0.0015,0
Thu May 25 2023,NDXP230525C13880000,23.4,0,63.3,69.5,0,0.1457,0.4107,0.0015,4,13880.00,NDXP230525P13880000,0,0,134.9,146.9,0,0.144,-0.5896,0.0015,0
Fri May 26 2023,NDXP230526C13725000,159.1,0,159.1,169.7,0,0.159,0.6279,0.0012,21,13725.00,NDXP230526P13725000,106.6,0,80,83.4,0,0.1596,-0.3724,0.0012,3
Fri May 26 2023,NDXP230526C13730000,188.84,-8.11,155.8,166.4,1,0.1591,0.622,0.0012,3,13730.00,NDXP230526P13730000,92.8,2.6,80.7,85,6,0.1587,-0.3784,0.0012,6
Fri May 26 2023,NDXP230526C13740000,120.55,0,149.5,159.8,0,0.1579,0.6099,0.0013,4,13740.00,NDXP230526P13740000,96.4,3.1,84.4,88.7,7,0.158,-0.3905,0.0013,7
Fri May 26 2023,NDXP230526C13750000,142.35,-41.8,143.2,153.3,7,0.159,0.5976,0.0013,16,13750.00,NDXP230526P13750000,82.4,-14.25,87.6,92.4,4,0.1573,-0.4028,0.0013,4
Fri May 26 2023,NDXP230526C13760000,128.5,0,137.1,147,0,0.1582,0.5851,0.0013,4,13760.00,NDXP230526P13760000,103.9,3.7,91.3,96.6,7,0.1564,-0.4153,0.0013,6
Fri May 26 2023,NDXP230526C13770000,123.1,0,131.2,140.8,0,0.1575,0.5723,0.0013,1,13770.00,NDXP230526P13770000,112.9,9.8,95.2,100.6,1,0.1562,-0.428,0.0013,1
Fri May 26 2023,NDXP230526C13775000,152.18,-15.62,128.7,138.1,9,0.1571,0.5659,0.0013,16,13775.00,NDXP230526P13775000,109.9,4.75,97.2,102.6,1,0.1555,-0.4345,0.0013,11
Fri May 26 2023,NDXP230526C13780000,117.9,0,125.4,134.8,0,0.1567,0.5594,0.0013,5,13780.00,NDXP230526P13780000,101.6,-5.75,99.3,104.7,3,0.1555,-0.441,0.0013,4
Fri May 26 2023,NDXP230526C13790000,125.5,-33.25,119.8,128.9,1,0.156,0.5463,0.0013,14,13790.00,NDXP230526P13790000,114.93,0,103.5,108.9,0,0.1547,-0.454,0.0013,10
Fri May 26 2023,NDXP230526C13800000,125.56,-26.94,114.3,123.2,29,0.1553,0.5331,0.0013,24,13800.00,NDXP230526P13800000,111.47,-3.28,107.8,113.3,4,0.1539,-0.4673,0.0013,13
Fri May 26 2023,NDXP230526C13810000,118.7,-28.3,108.9,117.7,4,0.1543,0.5197,0.0014,8,13810.00,NDXP230526P13810000,0,0,112.4,117.9,0,0.153,-0.4807,0.0014,0
Fri May 26 2023,NDXP230526C13820000,118.3,-22.7,105.8,111.3,7,0.1539,0.5062,0.0014,7,13820.00,NDXP230526P13820000,0,0,116.1,124.9,0,0.1528,-0.4942,0.0014,0
Fri May 26 2023,NDXP230526C13825000,118.4,-19.9,103.2,108.7,14,0.1537,0.4994,0.0014,30,13825.00,NDXP230526P13825000,497.23,0,118.4,127.4,0,0.1522,-0.501,0.0014,1
Fri May 26 2023,NDXP230526C13830000,114.3,-20.75,100.6,106.1,27,0.1534,0.4926,0.0014,16,13830.00,NDXP230526P13830000,0,0,120.8,129.9,0,0.1518,-0.5078,0.0014,0
Fri May 26 2023,NDXP230526C13840000,124.9,-3.6,95.7,101.2,2,0.1528,0.4789,0.0014,13,13840.00,NDXP230526P13840000,147.2,14.85,125.7,135,10,0.1513,-0.5214,0.0014,4
Fri May 26 2023,NDXP230526C13850000,103.9,-20.7,90.9,96.3,25,0.1523,0.4652,0.0014,29,13850.00,NDXP230526P13850000,120.82,-14.53,130.7,140.3,1,0.1507,-0.5352,0.0014,1
Fri May 26 2023,NDXP230526C13860000,100.7,-18.55,86.3,91.7,2,0.1516,0.4514,0.0014,2,13860.00,NDXP230526P13860000,163.44,0,136,145.8,0,0.1501,-0.549,0.0014,11
Fri May 26 2023,NDXP230526C13870000,75.8,0,82.6,86,0,0.1508,0.4376,0.0014,1,13870.00,NDXP230526P13870000,0,0,141.3,151.4,0,0.1498,-0.5627,0.0014,0
Fri May 26 2023,NDXP230526C13875000,74,0,80.4,83.8,0,0.151,0.4308,0.0014,4,13875.00,NDXP230526P13875000,0,0,144.1,154.3,0,0.1493,-0.5696,0.0014,0
Fri May 26 2023,NDXP230526C13880000,52,0,78.3,81.7,0,0.1508,0.4239,0.0014,12,13880.00,NDXP230526P13880000,0,0,146.9,157.2,0,0.149,-0.5765,0.0014,0
Tue May 30 2023,NDXP230530C13725000,202.38,0,176.5,187.9,0,0.1448,0.6144,0.0011,43,13725.00,NDXP230530P13725000,95.95,-6.75,97.1,100.5,1,0.1455,-0.3855,0.0011,1
Tue May 30 2023,NDXP230530C13730000,0,0,173.3,184.6,0,0.145,0.6092,0.0011,0,13730.00,NDXP230530P13730000,0,0,98.8,102.6,0,0.1454,-0.3908,0.0011,0
Tue May 30 2023,NDXP230530C13740000,0,0,166.9,178.1,0,0.1452,0.5986,0.0011,0,13740.00,NDXP230530P13740000,109.2,109.2,102.3,105.7,2,0.1444,-0.4014,0.0011,2
Tue May 30 2023,NDXP230530C13750000,160.9,0,160.1,171,0,0.1445,0.5878,0.0011,11,13750.00,NDXP230530P13750000,112.9,2.1,103.3,109.8,4,0.1437,-0.4122,0.0011,8
Tue May 30 2023,NDXP230530C13760000,0,0,154,164.7,0,0.1437,0.5768,0.0011,0,13760.00,NDXP230530P13760000,116.7,116.7,107.1,113.7,1,0.1426,-0.4231,0.0011,1
Tue May 30 2023,NDXP230530C13770000,0,0,148,158.5,0,0.1431,0.5657,0.0011,0,13770.00,NDXP230530P13770000,120.7,120.7,111,118.8,4,0.1426,-0.4342,0.0011,4
Tue May 30 2023,NDXP230530C13775000,155.58,-28.07,145.1,155.5,3,0.1426,0.5601,0.0012,4,13775.00,NDXP230530P13775000,122.1,2.4,113,120.9,1,0.1422,-0.4399,0.0012,1
Tue May 30 2023,NDXP230530C13780000,150.96,150.96,142.6,152.9,2,0.1423,0.5544,0.0012,2,13780.00,NDXP230530P13780000,107.6,107.6,115,123.3,2,0.1421,-0.4455,0.0012,2
Tue May 30 2023,NDXP230530C13790000,0,0,136.9,146.6,0,0.1422,0.543,0.0012,0,13790.00,NDXP230530P13790000,116.8,116.8,119.2,127.2,5,0.1414,-0.4569,0.0012,5
Tue May 30 2023,NDXP230530C13800000,139.8,-28.7,130.9,140.8,7,0.1416,0.5315,0.0012,8,13800.00,NDXP230530P13800000,114.3,-15.2,123.5,132,5,0.1408,-0.4684,0.0012,5
Tue May 30 2023,NDXP230530C13810000,0,0,125.5,135.2,0,0.1405,0.5199,0.0012,0,13810.00,NDXP230530P13810000,0,0,127.9,136.6,0,0.1399,-0.4801,0.0012,0
Tue May 30 2023,NDXP230530C13820000,0,0,122.4,129.7,0,0.1398,0.5081,0.0012,0,13820.00,NDXP230530P13820000,129.2,129.2,131.7,141.3,1,0.1397,-0.4918,0.0012,1
