
Standard & Poors 500 Index,Last: 3860.8101,Change:  -59.7499
"Date: 15 de marzo de 2023, 11:55 GMT-4",Bid: 3859.6299,Ask: 3861.51,Size: 1*1,Volume: 0
Expiration Date,Calls,Last Sale,Net,Bid,Ask,Volume,IV,Delta,Gamma,Open Interest,Strike,Puts,Last Sale,Net,Bid,Ask,Volume,IV,Delta,Gamma,Open Interest
Wed Mar 15 2023,SPXW230315C03915000,1.55,-12.75,1.4,1.45,7492,0.4479,0.0884,0.0042,705,3915.00,SPXW230315P03915000,57.97,26.27,55.9,56.7,305,0.4612,-0.9116,0.0042,705
Wed Mar 15 2023,SPXW230315C03920000,1.1,-11.1,1.05,1.15,12649,0.4508,0.0708,0.0035,1236,3920.00,SPXW230315P03920000,58.62,23.87,60.6,61.3,417,0.4625,-0.9292,0.0035,898
Wed Mar 15 2023,SPXW230315C03925000,0.85,-9.55,0.8,0.85,8345,0.4489,0.0565,0.0029,1444,3925.00,SPXW230315P03925000,67.37,29.42,65.3,66.1,351,0.4654,-0.9435,0.0029,1133
Wed Mar 15 2023,SPXW230315C03930000,0.7,-8,0.6,0.7,10238,0.4562,0.0449,0.0024,1156,3930.00,SPXW230315P03930000,67.25,26,70.1,70.9,234,0.4783,-0.9551,0.0024,571
Wed Mar 15 2023,SPXW230315C03935000,0.5,-6.75,0.45,0.55,8706,0.4584,0.0357,0.002,1086,3935.00,SPXW230315P03935000,69.35,24.55,75,75.8,133,0.4816,-0.9643,0.002,513
Wed Mar 15 2023,SPXW230315C03940000,0.4,-5.55,0.4,0.45,10640,0.4669,0.0284,0.0016,1070,3940.00,SPXW230315P03940000,71.25,22.75,79.4,81.2,119,0.4938,-0.9716,0.0016,419
Wed Mar 15 2023,SPXW230315C03945000,0.3,-4.55,0.3,0.35,9745,0.4766,0.0226,0.0013,1055,3945.00,SPXW230315P03945000,77.73,25.43,84.3,86.1,57,0.5032,-0.9774,0.0013,358
Wed Mar 15 2023,SPXW230315C03950000,0.3,-3.6,0.25,0.3,9655,0.4826,0.0181,0.0011,1766,3950.00,SPXW230315P03950000,89.09,32.64,89.5,90.6,122,0.5089,-0.9819,0.0011,813
Wed Mar 15 2023,SPXW230315C03955000,0.2,-2.95,0.2,0.25,5353,0.4915,0.0146,0.0009,1203,3955.00,SPXW230315P03955000,93.99,33.29,94.2,96,120,0.5329,-0.9854,0.0009,409
Wed Mar 15 2023,SPXW230315C03960000,0.15,-2.425,0.15,0.25,5252,0.5057,0.0119,0.0007,1784,3960.00,SPXW230315P03960000,86.21,21.21,99.1,101,67,0.5568,-0.9881,0.0007,617
Wed Mar 15 2023,SPXW230315C03965000,0.17,-1.88,0.15,0.2,5280,0.5185,0.0098,0.0006,1659,3965.00,SPXW230315P03965000,95.13,25.68,104.1,105.9,104,0.5555,-0.9902,0.0006,419
Wed Mar 15 2023,SPXW230315C03970000,0.12,-1.53,0.1,0.15,3278,0.5179,0.0081,0.0005,2100,3970.00,SPXW230315P03970000,108.77,34.67,109.1,110.9,17,0.5783,-0.9919,0.0005,296
Wed Mar 15 2023,SPXW230315C03975000,0.1,-1.2,0.1,0.15,2387,0.5386,0.0068,0.0004,2062,3975.00,SPXW230315P03975000,128.81,50.01,114.1,115.9,36,0.6009,-0.9932,0.0004,596
Wed Mar 15 2023,SPXW230315C03980000,0.1,-0.9,0.05,0.1,1985,0.5276,0.0058,0.0004,2926,3980.00,SPXW230315P03980000,131.77,48.32,119.1,120.9,8,0.6234,-0.9942,0.0004,383
Wed Mar 15 2023,SPXW230315C03985000,0.05,-0.75,0.05,0.1,1941,0.5472,0.005,0.0003,3685,3985.00,SPXW230315P03985000,117.8,29.5,124.1,125.9,48,0.6458,-0.995,0.0003,821
Wed Mar 15 2023,SPXW230315C03990000,0.05,-0.55,0.05,0.1,1562,0.5667,0.0043,0.0003,3402,3990.00,SPXW230315P03990000,123.05,30,129.1,130.9,7,0.668,-0.9957,0.0003,536
Wed Mar 15 2023,SPXW230315C03995000,0.07,-0.405,0.05,0.1,1665,0.5861,0.0038,0.0002,2589,3995.00,SPXW230315P03995000,133.25,35.25,134,135.9,38,0.6728,-0.9962,0.0002,158
Wed Mar 15 2023,SPXW230315C04000000,0.07,-0.305,0,0.1,2220,0.6054,0.0034,0.0002,5209,4000.00,SPXW230315P04000000,138.25,35.55,139,140.9,101,0.6741,-0.9966,0.0002,2696
Wed Mar 15 2023,SPXW230315C04005000,0.07,-0.205,0.05,0.1,1752,0.6246,0.0031,0.0002,1051,4005.00,SPXW230315P04005000,146.1,38.3,144,145.9,1,0.6951,-0.9969,0.0002,84
Wed Mar 15 2023,SPXW230315C04010000,0.05,-0.175,0,0.05,771,0.5791,0.0028,0.0002,2116,4010.00,SPXW230315P04010000,145.43,32.73,149,150.9,7,0.716,-0.9972,0.0002,205
Wed Mar 15 2023,SPXW230315C04015000,0.05,-0.125,0,0.05,733,0.5965,0.0026,0.0001,1578,4015.00,SPXW230315P04015000,147.7,30.15,154,155.9,86,0.7368,-0.9974,0.0001,222
Wed Mar 15 2023,SPXW230315C04020000,0.05,-0.075,0,0.05,540,0.6139,0.0024,0.0001,885,4020.00,SPXW230315P04020000,153.07,30.47,159,160.9,6,0.7575,-0.9976,0.0001,250
Wed Mar 15 2023,SPXW230315C04025000,0.05,-0.075,0,0.05,522,0.6313,0.0023,0.0001,5097,4025.00,SPXW230315P04025000,160.49,32.89,164,165.9,3,0.7781,-0.9977,0.0001,2606
Wed Mar 15 2023,SPXW230315C04030000,0.05,-0.025,0,0.05,609,0.6485,0.0021,0.0001,1812,4030.00,SPXW230315P04030000,166.3,33.7,169,170.9,5,0.7986,-0.9979,0.0001,643
Wed Mar 15 2023,SPXW230315C04035000,0.05,-0.025,0,0.05,555,0.6658,0.002,0.0001,794,4035.00,SPXW230315P04035000,104.6,0,174,175.9,0,0.8191,-0.998,0.0001,37
Wed Mar 15 2023,SPXW230315C04040000,0.05,-0.025,0,0.05,656,0.6829,0.0019,0.0001,3480,4040.00,SPXW230315P04040000,187.9,45.35,179,181.4,4,0.8394,-0.9981,0.0001,442
Wed Mar 15 2023,SPXW230315C04045000,0.05,-0.025,0,0.05,638,0.7,0.0019,0.0001,1808,4045.00,SPXW230315P04045000,179.15,31.6,184,186.4,5,0.8597,-0.9981,0.0001,103
Wed Mar 15 2023,SPXW230315C04050000,0.05,0,0,0.05,825,0.717,0.0018,0.0001,8537,4050.00,SPXW230315P04050000,201.98,49.48,189,191.4,9,0.8799,-0.9982,0.0001,1171
Wed Mar 15 2023,SPXW230315C04055000,0.05,0,0,0.05,104,0.734,0.0017,0.0001,2543,4055.00,SPXW230315P04055000,122.92,0,194,196.4,0,0.9001,-0.9983,0.0001,39
